payment_id,order_id,expected_status,expected_exception_type,expected_action,expected_root_cause,notes
PAY_10001,ORD_50001,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10002,ORD_50002,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10003,ORD_50003,EXCEPTION,REFERENCE_MISMATCH,HUMAN_REVIEW,REFERENCE_MISMATCH_DETECTED,"Payment ID altered in settlement record, but order reference and amount correspond"
PAY_10004,ORD_50004,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10005,ORD_50005,EXCEPTION,AMOUNT_MISMATCH,HUMAN_REVIEW,UNEXPLAINED_AMOUNT_DIFFERENCE,Settlement amount is 50.00 lower than expected after fees
PAY_10006,ORD_50006,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10007,ORD_50007,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10008,ORD_50008,EXCEPTION,AMOUNT_MISMATCH,HUMAN_REVIEW,UNEXPLAINED_AMOUNT_DIFFERENCE,Settlement amount is 150.00 lower than expected after fees
PAY_10009,ORD_50009,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10010,ORD_50010,EXCEPTION,MISSING_SETTLEMENT,HUMAN_REVIEW,UNSETTLED_TRANSACTION,Payment exists in payments.csv but has no settlement record in settlements.csv
PAY_10011,ORD_50011,EXCEPTION,AMOUNT_MISMATCH,HUMAN_REVIEW,UNEXPLAINED_AMOUNT_DIFFERENCE,Settlement amount is 100.00 lower than expected after fees
PAY_10012,ORD_50012,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10013,ORD_50013,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10014,ORD_50014,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10015,ORD_50015,EXCEPTION,AMOUNT_MISMATCH,HUMAN_REVIEW,UNEXPLAINED_AMOUNT_DIFFERENCE,Settlement amount is 250.00 lower than expected after fees
PAY_10016,ORD_50016,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10017,ORD_50017,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10018,ORD_50018,EXCEPTION,REFERENCE_MISMATCH,HUMAN_REVIEW,REFERENCE_MISMATCH_DETECTED,"Payment ID altered in settlement record, but order reference and amount correspond"
PAY_10019,ORD_50019,EXCEPTION,MISSING_SETTLEMENT,HUMAN_REVIEW,UNSETTLED_TRANSACTION,Payment exists in payments.csv but has no settlement record in settlements.csv
PAY_10020,ORD_50020,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10021,ORD_50021,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10022,ORD_50022,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10023,ORD_50023,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10024,ORD_50024,EXCEPTION,UNKNOWN,HUMAN_REVIEW,AMBIGUOUS_ANOMALY,Ambiguous financial state: negative fee and settlement amount exceeds payment
PAY_10025,ORD_50025,EXCEPTION,MISSING_SETTLEMENT,HUMAN_REVIEW,UNSETTLED_TRANSACTION,Payment exists in payments.csv but has no settlement record in settlements.csv
PAY_10026,ORD_50026,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10027,ORD_50027,EXCEPTION,DUPLICATE,HUMAN_REVIEW,DUPLICATE_SETTLEMENT_RECORD,Multiple settlement records exist for single payment ID
PAY_10028,ORD_50028,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10029,ORD_50029,EXCEPTION,DUPLICATE,HUMAN_REVIEW,DUPLICATE_SETTLEMENT_RECORD,Multiple settlement records exist for single payment ID
PAY_10030,ORD_50030,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10031,ORD_50031,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
PAY_10032,ORD_50032,MATCHED,None,AUTO_RESOLVE,STANDARD_SETTLEMENT,Standard match: payment equals settlement plus processing fee
